kode_prov,nama_prov,kode_cab,nama_cab,kode_kec,nama_kec,kode_kel,nama_kel,kode_tps,nama_tps,sumPartai,sumPartaiVotesAndCaleg,selisih,partai
32,JAWA BARAT,3211,SUMEDANG,321115,JATINANGOR,3211152007,CINTAMULYA,3211152007020,TPS 020,19,1479,1460,Gerindra
15,JAMBI,1504,BATANGHARI,150403,MUARA BULIAN,1504032009,NAPAL SISIK,1504032009001,TPS 001,7,1385,1378,Golkar
33,JAWA TENGAH,3315,GROBOGAN,331512,GROBOGAN,3315122008,PUTATSARI,3315122008027,TPS 027,0,1355,1355,PPP
11,ACEH,1117,BENER MERIAH,111706,WIH PESAM,1117062010,SUKA RAMAI BAWAH,1117062010002,TPS 002,25,1353,1328,PKB
18,LAMPUNG,1871,KOTA BANDAR LAMPUNG,187120,BUMI WARAS,1871201002,BUMI WARAS,1871201002003,TPS 003,12,1320,1308,PKB
13,SUMATERA BARAT,1371,KOTA PADANG,137104,PADANG UTARA,1371041005,LOLONG BELANTI,1371041005021,TPS 021,1,1306,1305,Partai Gelora
35,JAWA TIMUR,3502,PONOROGO,350217,PONOROGO,3502171011,TAMBAKBAYAN,3502171011005,TPS 005,39,1273,1234,PKB
64,KALIMANTAN TIMUR,6403,BERAU,640312,BATU PUTIH,6403122003,BATU PUTIH,6403122003007,TPS 007,1,1264,1263,Partai Buruh
32,JAWA BARAT,3206,TASIKMALAYA,320606,CIBALONG,3206062004,CIBALONG,3206062004007,TPS 007,12,1259,1247,Golkar
35,JAWA TIMUR,3519,MADIUN,351910,BALEREJO,3519102016,KEDUNGREJO,3519102016001,TPS 001,67,1253,1186,Golkar
35,JAWA TIMUR,3517,JOMBANG,351711,SUMOBITO,3517112004,PLEMAHAN,3517112004003,TPS 003,14,1222,1208,PPP
32,JAWA BARAT,3203,CIANJUR,320320,CIBINONG,3203202002,CIKANGKARENG,3203202002001,TPS 001,0,1200,1200,Partai Garuda
35,JAWA TIMUR,3522,BOJONEGORO,352217,MALO,3522172017,TREMBES,3522172017004,TPS 004,2,1142,1140,PERINDO
35,JAWA TIMUR,3514,PASURUAN,351421,NGULING,3514212001,SANGANOM,3514212001006,TPS 006,9,1138,1129,Demokrat
33,JAWA TENGAH,3315,GROBOGAN,331517,GUBUG,3315172004,TRISARI,3315172004003,TPS 003,0,1136,1136,Partai Ummat
64,KALIMANTAN TIMUR,6471,KOTA BALIKPAPAN,647106,BALIKPAPAN KOTA,6471061005,DAMAI,6471061005051,TPS 051,0,1136,1136,Partai Ummat
32,JAWA BARAT,3201,BOGOR,320127,CARINGIN,3201272006,CINAGARA,3201272006022,TPS 022,0,1136,1136,Partai Gelora
13,SUMATERA BARAT,1372,KOTA SOLOK,137202,TANJUNG HARAPAN,1372021003,TANJUNG PAKU,1372021003011,TPS 011,0,1072,1072,Partai Ummat
35,JAWA TIMUR,3506,KEDIRI,350605,KANDAT,3506052010,PULE,3506052010001,TPS 001,0,1064,1064,Partai Ummat
14,RIAU,1402,INDRAGIRI HULU,140201,RENGAT,1402012012,RANTAU MAPESAI,1402012012002,TPS 002,3,1051,1048,PPP
33,JAWA TENGAH,3306,PURWOREJO,330612,KEMIRI,3306122019,TURUS,3306122019004,TPS 004,6,1039,1033,PKB
32,JAWA BARAT,3209,CIREBON,320902,CILEDUG,3209022014,CILEDUG WETAN,3209022014012,TPS 012,28,1012,984,Golkar
13,SUMATERA BARAT,1371,KOTA PADANG,137106,LUBUK BEGALUNG,1371061013,PAMPANGAN NAN XX,1371061013018,TPS 018,16,992,976,PKB
32,JAWA BARAT,3209,CIREBON,320902,CILEDUG,3209022014,CILEDUG WETAN,3209022014012,TPS 012,8,986,978,Gerindra
35,JAWA TIMUR,3523,TUBAN,352318,PALANG,3523181001,PAYURAN,3523181001009,TPS 009,1,981,980,PKN
33,JAWA TENGAH,3376,KOTA TEGAL,337603,TEGAL SELATAN,3376031008,RANDUGUNTING,3376031008027,TPS 027,1,976,975,Partai Garuda
31,DKI JAKARTA,3173,KOTA ADM. JAKARTA BARAT,317308,KEMBANGAN,3173081004,SRENGSENG,3173081004008,TPS 008,40,976,936,PDIP
